   wage_per_hour  union  education_yrs  experience_yrs  age  female  marr  \,    south  manufacturing  construction  
480           5.00      0             14               0   20       0     1   ,480      0              0             1  
481           7.00      0             18              33   57       0     1   ,481      0              0             0  
482          18.00      0             16              38   60       0     1   ,482      1              0             0  
483          12.00      1             18              18   42       1     1   ,483      0              0             0  
484          20.40      0             17               3   26       0     0   ,484      0              1             0  
485          22.20      0             18              40   64       1     0   ,485      0              0             0  
486          16.42      0             14              19   39       0     0   ,486      0              1             0  
487           8.63      0             14               4   24       1     0   ,487      0              0             0  
488          19.38      0             16              11   33       1     1   ,488      0              0             0  
489          14.00      0             16              16   38       1     1   ,489      0              0             0  
490          10.00      0             14              22   42       0     1   ,490      0              0             0  
491          15.95      1             17              13   36       1     0   ,491      0              0             0  
492          20.00      1             16              28   50       1     1   ,492      1              0             0  
493          10.00      0             16              10   32       1     1   ,493      0              0             0  
494          24.98      0             16               5   27       1     0   ,494      1              0             0  
495          11.25      0             15               5   26       0     0   ,495      0              0             0  
496          22.83      0             18              37   61       1     0   ,496      0              1             0  
497          10.20      1             17              26   49       1     1   ,497      0              0             0  
498          10.00      0             16               4   26       1     1   ,498      1              0             0  
499          14.00      1             18              31   55       1     0   ,499      0              0             0
500          12.50      1             17              13   36       1     1   ,500      0              0             0  
501           5.79      0             12              42   60       1     1   ,501      0              0             0  
502          24.98      0             17              18   41       0     1   ,502      0              0             0  
503           4.35      0             12               3   21       1     1   ,503      0              0             0  
504          11.25      0             17              10   33       1     0   ,504      0              0             0  
505           6.67      1             16              10   32       1     0   ,505      0              0             0  
506           8.00      0             16              17   39       1     1   ,506      0              0             0  
507          18.16      0             18               7   31       0     1   ,507      0              0             0  
508          12.00      0             16              14   36       1     1   ,508      0              0             0  
509           8.89      1             16              22   44       1     1   ,509      0              0             0  
510           9.50      0             17              14   37       1     1   ,510      0              0             0  
511          13.65      0             16              11   33       0     1   ,511      0              0             0  
512          12.00      1             18              23   47       0     1   ,512      0              0             0  
513          15.00      1             12              39   57       0     1   ,513      0              0             0  
514          12.67      0             16              15   37       0     1   ,514      0              0             0  
515           7.38      0             14              15   35       1     0   ,515      0              0             0  
516          15.56      0             16              10   32       0     0   ,516      0              0             0  
517           7.45      0             12              25   43       1     0   ,517      1              0             0  
518           6.25      0             14              12   32       1     1   ,518      0              0             0  
519           6.25      0             16               7   29       1     1   ,519      1              0             0  
520           9.37      1             17               7   30       0     1   ,520      0              0             0  
521          22.50      0             16              17   39       0     1   ,521      0              1             0  
522           7.50      1             16              10   32       0     1   ,522      0              0             0  
523           7.00      0             17               2   25       0     1   ,523      1              0             0  
524           5.75      1              9              34   49       1     1   ,524      1              0             0  
525           7.67      0             15              11   32       1     1   ,525      0              0             0  
526          12.50      0             15              10   31       0     0   ,526      0              0             0  
527          16.00      0             12              12   30       0     1   ,527      1              0             0  
528          11.79      1             16               6   28       1     0   ,528      0              0             0  
529          11.36      0             18               5   29       0     0   ,529      0              0             0
530           6.10      0             12              33   51       1     1   ,530      0              0             0  
531          23.25      1             17              25   48       1     1   ,531      0              0             0  
532          19.88      1             12              13   31       0     1   ,532      1              0             0  
533          15.38      0             16              33   55       0     1   ,533      0              1             0
